lat;lng;STREET TYPOLOGY;;
51.514277;-0.150759;pedestrian;;
51.514579;-0.150903;pedestrian;;
51.51488;-0.151048;pedestrian;;
51.493977;-0.126657;pedestrian;;
51.49399;-0.126094;pedestrian;;
51.510748;-0.085729;pedestrian;;
51.510685;-0.085762;pedestrian;;
51.50959;-0.084542;pedestrian;;
51.50936;-0.084227;pedestrian;;
51.510072;-0.086139;pedestrian;;
51.509993;-0.085768;pedestrian;;
51.509911;-0.085399;pedestrian;;
51.51022;-0.126915;pedestrian;;
51.510277;-0.126297;pedestrian;;
51.510333;-0.12568;pedestrian;;
51.512149;-0.12622;pedestrian;;
51.512083;-0.126195;pedestrian;;
51.524683;-0.082498;pedestrian;;
51.524382;-0.082496;pedestrian;;
51.524082;-0.082478;pedestrian;;
51.517039;-0.084794;pedestrian;;
51.516957;-0.084327;pedestrian;;
51.516875;-0.083861;pedestrian;;
51.516793;-0.083394;pedestrian;;
51.521436;-0.082686;pedestrian;;
51.521471;-0.083064;pedestrian;;
51.521503;-0.083442;pedestrian;;
51.52124;-0.081416;pedestrian;;
51.521276;-0.082109;pedestrian;;
51.521436;-0.082686;pedestrian;;
51.51911;-0.135406;pedestrian;;
51.519325;-0.134846;pedestrian;;
51.519543;-0.134289;pedestrian;;
51.541088;-0.155928;pedestrian;;
51.540998;-0.155728;pedestrian;;
51.523718;-0.102641;pedestrian;;
51.523766;-0.102211;pedestrian;;
51.523984;-0.102878;pedestrian;;
51.524113;-0.102438;pedestrian;;
51.524231;-0.101989;pedestrian;;
51.524149;-0.10156;pedestrian;;
51.523897;-0.10228;pedestrian;;
51.524116;-0.102427;pedestrian;;
51.524149;-0.10156;pedestrian;;
51.52393;-0.101413;pedestrian;;
51.523713;-0.101263;pedestrian;;
51.524149;-0.10156;pedestrian;;
51.52419;-0.101422;pedestrian;;
51.511322;-0.128389;pedestrian;;
51.511197;-0.128954;pedestrian;;
51.511048;-0.129504;pedestrian;;
51.510219;-0.130574;pedestrian;;
51.510599;-0.130856;pedestrian;;
51.50896;-0.133156;pedestrian;;
51.509255;-0.133376;pedestrian;;
51.50896;-0.133156;pedestrian;;
51.508823;-0.133057;pedestrian;;
51.510026;-0.129518;pedestrian;;
51.509942;-0.129044;pedestrian;;
51.509882;-0.128557;pedestrian;;
51.510967;-0.128406;pedestrian;;
51.510967;-0.127713;pedestrian;;
51.511003;-0.127025;pedestrian;;
51.511234;-0.128393;pedestrian;;
51.511235;-0.127876;pedestrian;;
51.510966;-0.127785;pedestrian;;
51.492633;-0.158567;pedestrian;;
51.492912;-0.15865;pedestrian;;
51.493192;-0.158734;pedestrian;;
51.493192;-0.158734;pedestrian;;
51.493473;-0.158813;pedestrian;;
51.493755;-0.158892;pedestrian;;
51.511391;-0.123044;pedestrian;;
51.511692;-0.123377;pedestrian;;
51.511995;-0.123705;pedestrian;;
51.509366;-0.135727;pedestrian;;
51.509125;-0.135493;pedestrian;;
51.508889;-0.13525;pedestrian;;
51.510024;-0.13769;pedestrian;;
51.509975;-0.137742;pedestrian;;
51.512914;-0.136158;pedestrian;;
51.513111;-0.135589;pedestrian;;
51.513;-0.133672;pedestrian;;
51.51315;-0.133327;pedestrian;;
51.513294;-0.132975;pedestrian;;
51.511779;-0.131124;pedestrian;;
51.511973;-0.131281;pedestrian;;
51.516421;-0.126309;pedestrian;;
51.516734;-0.126422;pedestrian;;
51.51677;-0.126086;pedestrian;;
51.510375;-0.135247;pedestrian;;
51.510299;-0.134989;pedestrian;;
51.512023;-0.133446;pedestrian;;
51.51182;-0.133283;pedestrian;;
51.513084;-0.134431;pedestrian;;
51.513214;-0.134046;pedestrian;;
51.51121;-0.131359;pedestrian;;
51.510907;-0.1311;pedestrian;;
51.510599;-0.130856;pedestrian;;
51.497904;-0.177756;pedestrian;;
51.498234;-0.177819;pedestrian;;
51.498493;-0.177814;pedestrian;;
51.510677;-0.12171;pedestrian;;
51.510523;-0.121536;pedestrian;;
51.511026;-0.131839;pedestrian;;
51.511419;-0.132129;pedestrian;;
51.511808;-0.132429;pedestrian;;
51.478225;-0.183221;pedestrian;;
51.478471;-0.18342;pedestrian;;
51.478716;-0.183619;pedestrian;;
51.479934;-0.184632;pedestrian;;
51.479782;-0.184495;pedestrian;;
51.550817;-0.16425;pedestrian;;
51.550973;-0.164121;pedestrian;;
51.551182;-0.164296;pedestrian;;
51.551672;-0.162621;pedestrian;;
51.55155;-0.163049;pedestrian;;
51.551975;-0.16416;pedestrian;;
51.551676;-0.163918;pedestrian;;
51.551378;-0.163675;pedestrian;;
51.552259;-0.162983;pedestrian;;
51.551961;-0.162821;pedestrian;;
51.551672;-0.162621;pedestrian;;
51.518003;-0.082497;pedestrian;;
51.517777;-0.082366;pedestrian;;
51.517642;-0.081715;pedestrian;;
51.517508;-0.081064;pedestrian;;
51.517645;-0.080631;pedestrian;;
51.517734;-0.081194;pedestrian;;
51.517868;-0.081845;pedestrian;;
51.520977;-0.08358;pedestrian;;
51.520621;-0.083674;pedestrian;;
51.520264;-0.083753;pedestrian;;
51.519906;-0.08383;pedestrian;;
51.532533;-0.105839;pedestrian;;
51.532337;-0.105708;pedestrian;;
51.53473;-0.103999;pedestrian;;
51.534589;-0.103602;pedestrian;;
51.514051;-0.122833;pedestrian;;
51.51401;-0.122762;pedestrian;;
51.514343;-0.12171;pedestrian;;
51.51399;-0.122137;pedestrian;;
51.513626;-0.122537;pedestrian;;
51.511048;-0.129504;pedestrian;;
51.510985;-0.129664;pedestrian;;
51.51275;-0.083494;pedestrian;;
51.51251;-0.083597;pedestrian;;
51.512515;-0.081458;pedestrian;;
51.512138;-0.081486;pedestrian;;
51.511799;-0.081246;pedestrian;;
51.512629;-0.083105;pedestrian;;
51.51278;-0.083674;pedestrian;;
51.512881;-0.084274;pedestrian;;
51.512886;-0.083438;pedestrian;;
51.512835;-0.08346;pedestrian;;
51.512886;-0.083438;pedestrian;;
51.513155;-0.083367;pedestrian;;
51.513427;-0.083344;pedestrian;;
51.495523;-0.176874;pedestrian;;
51.495857;-0.176677;pedestrian;;
51.4959;-0.17605;pedestrian;;
51.495601;-0.175715;pedestrian;;
51.518038;-0.077754;pedestrian;;
51.51809;-0.077367;pedestrian;;
51.518154;-0.07699;pedestrian;;
51.532337;-0.093039;pedestrian;;
51.532422;-0.092661;pedestrian;;
51.532516;-0.092288;pedestrian;;
51.499116;-0.062317;pedestrian;;
51.499162;-0.061897;pedestrian;;
51.499214;-0.061472;pedestrian;;
51.511423;-0.057847;pedestrian;;
51.511138;-0.057834;pedestrian;;
51.513079;-0.056846;pedestrian;;
51.513422;-0.05682;pedestrian;;
51.513766;-0.056794;pedestrian;;
51.514109;-0.056758;pedestrian;;
51.51445;-0.056682;pedestrian;;
51.471581;-0.06969;pedestrian;;
51.472005;-0.06967;pedestrian;;
51.508204;-0.132484;pedestrian;;
51.50783;-0.132157;pedestrian;;
51.507457;-0.131829;pedestrian;;
51.491973;-0.15824;pedestrian;;
51.491678;-0.158462;pedestrian;;
51.491455;-0.158939;pedestrian;;
51.491309;-0.158748;pedestrian;;
51.491515;-0.158328;pedestrian;;
51.491754;-0.1583;pedestrian;;
51.514432;-0.051007;pedestrian;;
51.514368;-0.050606;pedestrian;;
51.526742;-0.111135;pedestrian;;
51.52696;-0.110716;pedestrian;;
51.527178;-0.110297;pedestrian;;
51.548577;-0.075972;pedestrian;;
51.548899;-0.075952;pedestrian;;
51.54551;-0.072612;pedestrian;;
51.545339;-0.072509;pedestrian;;
51.515098;-0.142512;pedestrian;;
51.515206;-0.142567;pedestrian;;
51.493325;-0.17602;pedestrian;;
51.493616;-0.176313;pedestrian;;
51.493907;-0.176605;pedestrian;;
51.500692;-0.202778;pedestrian;;
51.50108;-0.202968;pedestrian;;
51.501465;-0.203169;pedestrian;;
51.501663;-0.162743;pedestrian;;
51.501421;-0.162631;pedestrian;;
51.501188;-0.162485;pedestrian;;
51.511423;-0.059426;pedestrian;;
51.511103;-0.059367;pedestrian;;
51.515385;-0.092053;pedestrian;;
51.515146;-0.092104;pedestrian;;
51.515385;-0.092053;pedestrian;;
51.515404;-0.091802;pedestrian;;
51.537162;-0.06962;pedestrian;;
51.537004;-0.069637;pedestrian;;
51.530033;-0.075378;pedestrian;;
51.529848;-0.075486;pedestrian;;
51.501702;-0.118012;pedestrian;;
51.501919;-0.117696;pedestrian;;
51.501854;-0.117076;pedestrian;;
51.501601;-0.117396;pedestrian;;
51.496083;-0.164822;pedestrian;;
51.49633;-0.165115;pedestrian;;
51.477405;-0.048153;pedestrian;;
51.477096;-0.048383;pedestrian;;
51.47679;-0.048622;pedestrian;;
51.476495;-0.048894;pedestrian;;
51.504247;-0.076044;pedestrian;;
51.504103;-0.075683;pedestrian;;
51.50398;-0.075302;pedestrian;;
51.519052;-0.141352;pedestrian;;
51.518743;-0.141213;pedestrian;;
51.518435;-0.141078;pedestrian;;
51.540863;-0.11768;pedestrian;;
51.5409;-0.117042;pedestrian;;
51.505008;-0.080306;pedestrian;;
51.504993;-0.080906;pedestrian;;
51.504974;-0.081505;pedestrian;;
51.504953;-0.082104;pedestrian;;
51.504938;-0.082704;pedestrian;;
51.504922;-0.083303;pedestrian;;
51.50491;-0.083903;pedestrian;;
51.506672;-0.098833;pedestrian;;
51.506658;-0.099317;pedestrian;;
51.506633;-0.0998;pedestrian;;
51.506612;-0.100283;pedestrian;;
51.51459;-0.050513;pedestrian;;
51.514287;-0.05064;pedestrian;;
51.514056;-0.05089;pedestrian;;
51.506088;-0.088834;pedestrian;;
51.505909;-0.088941;pedestrian;;
51.50668;-0.089492;pedestrian;;
51.506763;-0.089121;pedestrian;;
51.506951;-0.089314;pedestrian;;
51.496673;-0.065945;pedestrian;;
51.496806;-0.065273;pedestrian;;
51.496928;-0.064597;pedestrian;;
51.497021;-0.063908;pedestrian;;
51.519997;-0.104918;pedestrian;;
51.520168;-0.104376;pedestrian;;
51.554506;-0.138763;pedestrian;;
51.554828;-0.138564;pedestrian;;
51.55513;-0.138578;pedestrian;;
51.555085;-0.138405;pedestrian;;
51.542178;-0.143394;pedestrian;;
51.542522;-0.143346;pedestrian;;
51.542865;-0.14331;pedestrian;;
51.518528;-0.0838;pedestrian;;
51.518872;-0.08391;pedestrian;;
51.519197;-0.083978;pedestrian;;
51.519539;-0.083927;pedestrian;;
51.519849;-0.083592;pedestrian;;
51.520364;-0.077624;pedestrian;;
51.520281;-0.077052;pedestrian;;
51.520246;-0.076467;pedestrian;;
51.52021;-0.075882;pedestrian;;
51.517718;-0.077603;pedestrian;;
51.517829;-0.076926;pedestrian;;
51.517939;-0.07625;pedestrian;;
51.515667;-0.089335;pedestrian;;
51.515647;-0.088846;pedestrian;;
51.515626;-0.088352;pedestrian;;
51.544332;-0.085479;pedestrian;;
51.544396;-0.085453;pedestrian;;
51.50923;-0.132403;pedestrian;;
51.509095;-0.132779;pedestrian;;
51.50896;-0.133156;pedestrian;;
51.521436;-0.082686;pedestrian;;
51.521732;-0.082624;pedestrian;;
51.522027;-0.082563;pedestrian;;
51.517541;-0.082943;pedestrian;;
51.517432;-0.082416;pedestrian;;
51.513932;-0.079735;pedestrian;;
51.513634;-0.079788;pedestrian;;
51.513335;-0.079851;pedestrian;;
51.508212;-0.110221;pedestrian;;
51.508133;-0.110207;pedestrian;;
51.5075;-0.110054;pedestrian;;
51.507377;-0.109963;pedestrian;;
51.54327;-0.094203;pedestrian;;
51.543157;-0.094065;pedestrian;;
51.513941;-0.218944;pedestrian;;
51.514331;-0.218994;pedestrian;;
51.514722;-0.219044;pedestrian;;
51.501873;-0.115561;pedestrian;;
51.501585;-0.115106;pedestrian;;
51.501296;-0.114651;pedestrian;;
51.501008;-0.114196;pedestrian;;
51.50072;-0.113741;pedestrian;;
51.501008;-0.114196;pedestrian;;
51.501296;-0.114651;pedestrian;;
51.501585;-0.115106;pedestrian;;
51.522817;-0.216365;pedestrian;;
51.522954;-0.215742;pedestrian;;
51.523293;-0.215384;pedestrian;;
51.523379;-0.214791;pedestrian;;
51.514794;-0.116505;pedestrian;;
51.514578;-0.116141;pedestrian;;
51.514578;-0.116141;pedestrian;;
51.514346;-0.115777;pedestrian;;
51.514327;-0.1169;pedestrian;;
51.514186;-0.116321;pedestrian;;
51.5005;-0.133815;pedestrian;;
51.500727;-0.133828;pedestrian;;
51.521247;-0.118156;pedestrian;;
51.521546;-0.118315;pedestrian;;
51.521846;-0.11847;pedestrian;;
51.479606;-0.127308;pedestrian;;
51.47991;-0.127249;pedestrian;;
51.479565;-0.126635;pedestrian;;
51.479788;-0.126549;pedestrian;;
51.477938;-0.129467;pedestrian;;
51.477877;-0.129022;pedestrian;;
51.477539;-0.127692;pedestrian;;
51.47742;-0.127042;pedestrian;;
51.476533;-0.128579;pedestrian;;
51.476434;-0.128036;pedestrian;;
51.476335;-0.127493;pedestrian;;
51.492255;-0.106186;pedestrian;;
51.491994;-0.106644;pedestrian;;
51.491784;-0.107147;pedestrian;;
51.491526;-0.107613;pedestrian;;
51.491292;-0.108093;pedestrian;;
51.490697;-0.103537;pedestrian;;
51.490884;-0.103945;pedestrian;;
51.491118;-0.10427;pedestrian;;
51.489906;-0.104322;pedestrian;;
51.490111;-0.104851;pedestrian;;
51.490298;-0.105397;pedestrian;;
51.488536;-0.107892;pedestrian;;
51.488687;-0.108183;pedestrian;;
51.4896;-0.106842;pedestrian;;
51.489532;-0.106693;pedestrian;;
51.489095;-0.108935;pedestrian;;
51.488809;-0.109325;pedestrian;;
51.488706;-0.10987;pedestrian;;
51.485615;-0.110032;pedestrian;;
51.485448;-0.109665;pedestrian;;
51.514311;-0.158128;pedestrian;;
51.51474;-0.158287;pedestrian;;
51.514288;-0.158072;pedestrian;;
51.5139;-0.157937;pedestrian;;
51.513515;-0.157743;pedestrian;;
51.482815;-0.102389;pedestrian;;
51.482613;-0.102842;pedestrian;;
51.482411;-0.103294;pedestrian;;
51.556721;-0.177267;pedestrian;;
51.556508;-0.177632;pedestrian;;
51.556278;-0.177971;pedestrian;;
51.510772;-0.139549;pedestrian;;
51.510834;-0.139378;pedestrian;;
51.511305;-0.139795;pedestrian;;
51.51104;-0.13956;pedestrian;;
51.510866;-0.139283;pedestrian;;
51.511012;-0.138857;pedestrian;;
51.50456;-0.109064;pedestrian;;
51.504895;-0.109239;pedestrian;;
51.503634;-0.075993;pedestrian;;
51.503524;-0.075671;pedestrian;;
51.503414;-0.075349;pedestrian;;
