lat;lng;STREET TYPOLOGY;NUMBER OF AMENITIES;MAIN CATEGORY
48.887426;2.296491;pedestrian;0;NEED
48.830201;2.316456;pedestrian;0;NEED
48.830042;2.316978;pedestrian;0;NEED
48.829857;2.317479;pedestrian;0;NEED
48.829681;2.317988;pedestrian;0;NEED
48.834395;2.321123;pedestrian;0;NEED
48.834383;2.321144;pedestrian;0;NEED
48.865777;2.369972;pedestrian;0;NEED
48.865638;2.369498;pedestrian;0;NEED
48.882092;2.35127;pedestrian;0;NEED
48.881974;2.350964;pedestrian;0;NEED
48.875826;2.343683;pedestrian;0;NEED
48.875468;2.343417;pedestrian;0;NEED
48.875113;2.343137;pedestrian;0;NEED
48.874759;2.342857;pedestrian;0;NEED
48.874405;2.342577;pedestrian;0;NEED
48.874045;2.342357;pedestrian;0;NEED
48.883455;2.329888;pedestrian;0;NEED
48.883244;2.3296;pedestrian;0;NEED
48.883033;2.329314;pedestrian;0;NEED
48.889317;2.344661;pedestrian;0;NEED
48.889139;2.34492;pedestrian;0;NEED
48.888992;2.345235;pedestrian;0;NEED
48.885543;2.338492;pedestrian;0;NEED
48.885954;2.338543;pedestrian;0;NEED
48.885422;2.336129;pedestrian;0;NEED
48.885146;2.335918;pedestrian;0;NEED
48.884871;2.335707;pedestrian;0;NEED
48.887136;2.35098;pedestrian;0;NEED
48.887341;2.350502;pedestrian;0;NEED
48.887546;2.350024;pedestrian;0;NEED
48.889762;2.353393;pedestrian;0;NEED
48.889732;2.35278;pedestrian;0;NEED
48.889725;2.352167;pedestrian;0;NEED
48.889742;2.351553;pedestrian;0;NEED
48.842091;2.303069;pedestrian;0;NEED
48.841697;2.302894;pedestrian;0;NEED
48.846383;2.37005;pedestrian;0;NEED
48.846635;2.370467;pedestrian;0;NEED
48.846888;2.370881;pedestrian;0;NEED
48.847141;2.371296;pedestrian;0;NEED
48.847401;2.371701;pedestrian;0;NEED
48.834127;2.329143;pedestrian;0;NEED
48.833946;2.32962;pedestrian;0;NEED
48.833769;2.3301;pedestrian;0;NEED
48.833593;2.330582;pedestrian;0;NEED
48.833416;2.331062;pedestrian;0;NEED
48.833239;2.331542;pedestrian;0;NEED
48.833606;2.330547;pedestrian;0;NEED
48.833842;2.330735;pedestrian;0;NEED
48.834077;2.330922;pedestrian;0;NEED
48.897693;2.272299;pedestrian;0;NEED
48.897904;2.272792;pedestrian;0;NEED
48.898096;2.273308;pedestrian;0;NEED
48.898288;2.273824;pedestrian;0;NEED
